File,Output_folder,Experiment,MS_Plate,Fraction,Parameter_group,PTM,Reference_channel,File_order,Compound_order,Project,Comments
4509_A02_051588_S00_I00_U02_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_A03_051588_S00_I00_U03_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_A04_051588_S00_I00_U04_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_A05_051588_S00_I00_U05_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_A06_051588_S00_I00_U06_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_A07_051588_S00_I00_U07_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_A08_051588_S00_I00_U08_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_A09_051588_S00_I00_U09_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_A10_051588_S00_I00_U10_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_A11_051588_S00_I00_U11_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_A12_051588_S00_I00_U12_TMT11_R1,Batch4_PP_MASTER,Batch4_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4505_G02_051588_S00_U10_TMT11_R1,Batch4_var_MASTER,Batch4_var_MASTER,4505,10,0,FALSE,,10,,Patients,
4505_H05_051588_S00_U40_TMT11_R1,Batch4_var_MASTER,Batch4_var_MASTER,4505,40,0,FALSE,,40,,Patients,
4509_B01_051589_S00_I00_U01_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_B02_051589_S00_I00_U02_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_B03_051589_S00_I00_U03_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_B04_051589_S00_I00_U04_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_B05_051589_S00_I00_U05_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_B06_051589_S00_I00_U06_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_B07_051589_S00_I00_U07_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_B08_051589_S00_I00_U08_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_B09_051589_S00_I00_U09_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_B10_051589_S00_I00_U10_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_B11_051589_S00_I00_U11_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_B12_051589_S00_I00_U12_TMT11_R1,Batch5_PP_MASTER,Batch5_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4505_G08_051589_S00_U10_TMT11_R1,Batch5_var_MASTER,Batch5_var_MASTER,4505,10,0,FALSE,,10,,Patients,
4505_H11_051589_S00_U40_TMT11_R1,Batch5_var_MASTER,Batch5_var_MASTER,4505,40,0,FALSE,,40,,Patients,
4932_A10_054490_S00_U10_TMT11_R1,Batch26_var_MASTER,Batch26_var_MASTER,4932,10,0,FALSE,,10,,Patients,
4932_D09_054490_S00_U40_TMT11_R1,Batch26_var_MASTER,Batch26_var_MASTER,4932,40,0,FALSE,,40,,Patients,
4933_A01_054490_S00_U01_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,1,1,TRUE,,1,,Patients,
4933_B01_054490_S00_U02_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,2,1,TRUE,,2,,Patients,
4933_C01_054490_S00_U03_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,3,1,TRUE,,3,,Patients,
4933_D01_054490_S00_U04_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,4,1,TRUE,,4,,Patients,
4933_E01_054490_S00_U05_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,5,1,TRUE,,5,,Patients,
4933_F01_054490_S00_U06_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,6,1,TRUE,,6,,Patients,
4933_G01_054490_S00_U07_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,7,1,TRUE,,7,,Patients,
4933_H01_054490_S00_U08_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,8,1,TRUE,,8,,Patients,
4933_A02_054490_S00_U09_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,9,1,TRUE,,9,,Patients,
4933_B02_054490_S00_U10_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,10,1,TRUE,,10,,Patients,
4933_C02_054490_S00_U11_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,11,1,TRUE,,11,,Patients,
4933_D02_054490_S00_U12_I00_TMT11_R1,Batch26_PP_MASTER,Batch26_PP_MASTER,4933,12,1,TRUE,,12,,Patients,
4506_G02_051590_S00_U10_TMT11_R1,Batch6_var_MASTER,Batch6_var_MASTER,4506,10,0,FALSE,,10,,Patients,
4506_H05_051590_S00_U40_TMT11_R1,Batch6_var_MASTER,Batch6_var_MASTER,4506,40,0,FALSE,,40,,Patients,
4509_C01_051590_S00_I00_U01_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_C02_051590_S00_I00_U02_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_C03_051590_S00_I00_U03_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_C04_051590_S00_I00_U04_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_C05_051590_S00_I00_U05_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_C06_051590_S00_I00_U06_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_C07_051590_S00_I00_U07_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_C08_051590_S00_I00_U08_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_C09_051590_S00_I00_U09_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_C10_051590_S00_I00_U10_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_C11_051590_S00_I00_U11_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_C12_051590_S00_I00_U12_TMT11_R1,Batch6_PP_MASTER,Batch6_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4506_G08_051591_S00_U10_TMT11_R1,Batch7_var_MASTER,Batch7_var_MASTER,4506,10,0,FALSE,,10,,Patients,
4506_H11_051591_S00_U40_TMT11_R1,Batch7_var_MASTER,Batch7_var_MASTER,4506,40,0,FALSE,,40,,Patients,
4509_D01_051591_S00_I00_U01_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_D02_051591_S00_I00_U02_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_D03_051591_S00_I00_U03_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_D04_051591_S00_I00_U04_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_D05_051591_S00_I00_U05_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_D06_051591_S00_I00_U06_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_D07_051591_S00_I00_U07_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_D08_051591_S00_I00_U08_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_D09_051591_S00_I00_U09_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_D10_051591_S00_I00_U10_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_D11_051591_S00_I00_U11_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_D12_051591_S00_I00_U12_TMT11_R1,Batch7_PP_MASTER,Batch7_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4507_A10_051592_S00_U10_TMT11_R1,Batch8_var_MASTER,Batch8_var_MASTER,4507,10,0,FALSE,,10,,Patients,
4507_D09_051592_S00_U40_TMT11_R1,Batch8_var_MASTER,Batch8_var_MASTER,4507,40,0,FALSE,,40,,Patients,
4509_E01_051592_S00_I00_U01_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_E02_051592_S00_I00_U02_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_E03_051592_S00_I00_U03_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_E04_051592_S00_I00_U04_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_E05_051592_S00_I00_U05_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_E06_051592_S00_I00_U06_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_E07_051592_S00_I00_U07_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_E08_051592_S00_I00_U08_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_E09_051592_S00_I00_U09_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_E10_051592_S00_I00_U10_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_E11_051592_S00_I00_U11_TMT11_R1,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_E12_051592_S00_I00_U12_TMT11_R2,Batch8_PP_MASTER,Batch8_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4507_E10_051593_S00_U10_TMT11_R1,Batch9_var_MASTER,Batch9_var_MASTER,4507,10,0,FALSE,,10,,Patients,
4507_H09_051593_S00_U40_TMT11_R1,Batch9_var_MASTER,Batch9_var_MASTER,4507,40,0,FALSE,,40,,Patients,
4509_F01_051593_S00_I00_U01_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_F02_051593_S00_I00_U02_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
4509_F03_051593_S00_I00_U03_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_F04_051593_S00_I00_U04_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_F05_051593_S00_I00_U05_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_F06_051593_S00_I00_U06_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_F07_051593_S00_I00_U07_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_F08_051593_S00_I00_U08_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_F09_051593_S00_I00_U09_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_F10_051593_S00_I00_U10_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_F11_051593_S00_I00_U11_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_F12_051593_S00_I00_U12_TMT11_R1,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4509_F12_051593_S00_I00_U12_TMT11_R2,Batch9_PP_MASTER,Batch9_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4508_A10_051594_S00_U10_TMT11_R1,Batch10_var_MASTER,Batch10_var_MASTER,4508,10,0,FALSE,,10,,Patients,
4508_D09_051594_S00_U40_TMT11_R1,Batch10_var_MASTER,Batch10_var_MASTER,4508,40,0,FALSE,,40,,Patients,
4509_G01_051594_S00_I00_U01_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_G02_051594_S00_I00_U02_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
